study_id,trial_name,pmid,pmc_url,source_review,randomization,deviations,missing_data,measurement,reporting,overall
1,Witzke and Snow 2000,10862529,,Deng 2024 plyometric meta-analysis,,,,,,moderate
2,Almeida et al. 2021,33108985,,Deng 2024 plyometric meta-analysis,,,,,,low
