source,model,protocol,pass,kind,domain,n,raw_agr,k_unw,k_lin,k_quad,ci_lin_lo,ci_lin_hi
gpt_oss_20b_abstract_pass1,gpt_oss_20b,abstract,1,single_pass,d1,78,0.2564102564102564,-0.013440860215053833,-0.00132802124834013,0.022049286640726296,-0.005427408412483067,3.092764140027221e-16
gpt_oss_20b_abstract_pass1,gpt_oss_20b,abstract,1,single_pass,d2,78,0.38461538461538464,0.08705193855157282,0.07640750670241281,0.05970149253731374,-0.01997146932952902,0.17555147058823536
gpt_oss_20b_abstract_pass1,gpt_oss_20b,abstract,1,single_pass,d3,78,0.4230769230769231,0.09698996655518395,0.12946428571428586,0.1878759833410456,0.059850374064837925,0.21150855365474341
gpt_oss_20b_abstract_pass1,gpt_oss_20b,abstract,1,single_pass,d4,78,0.2948717948717949,0.034653465346534656,0.06478754732856527,0.11462597692593994,-0.04320987654320967,0.1594202898550724
gpt_oss_20b_abstract_pass1,gpt_oss_20b,abstract,1,single_pass,d5,78,0.3076923076923077,0.003076923076923066,-0.0004664179104477111,-0.007249660172179877,-0.06267029972752046,0.05139972464433202
gpt_oss_20b_abstract_pass1,gpt_oss_20b,abstract,1,single_pass,overall,78,0.4358974358974359,0.06739130434782609,0.03727959697733005,-0.011428571428571389,-0.06211180124223613,0.14420062695924735
gpt_oss_20b_abstract_pass2,gpt_oss_20b,abstract,2,single_pass,d1,78,0.2692307692307692,0.004032258064516074,-0.00132802124834013,-0.011673151750972676,-0.005154639175257759,3.092764140027221e-16
gpt_oss_20b_abstract_pass2,gpt_oss_20b,abstract,2,single_pass,d2,78,0.3333333333333333,0.051228070175438546,0.06360572872788542,0.08219178082191797,-0.0170228178196307,0.14189492590929495
gpt_oss_20b_abstract_pass2,gpt_oss_20b,abstract,2,single_pass,d3,78,0.3333333333333333,0.06586826347305388,0.08894878706199447,0.13184931506849343,0.040050062578222974,0.15853658536585374
gpt_oss_20b_abstract_pass2,gpt_oss_20b,abstract,2,single_pass,d4,78,0.32051282051282054,0.054869684499314175,0.10381616741895794,0.1767109295199182,0.01984126984126979,0.1992136304062908
gpt_oss_20b_abstract_pass2,gpt_oss_20b,abstract,2,single_pass,d5,78,0.32051282051282054,0.02361832782239027,0.025459688826025274,0.029121653358384885,0.0,0.06876790830945562
gpt_oss_20b_abstract_pass2,gpt_oss_20b,abstract,2,single_pass,overall,78,0.3717948717948718,-0.019743863393809985,0.00481463649494444,0.041884816753926565,-0.0969932104752668,0.10958904109589031
gpt_oss_20b_abstract_pass3,gpt_oss_20b,abstract,3,single_pass,d1,78,0.2692307692307692,0.0,0.0,0.0,-2.8392588826479415e-16,3.092764140027221e-16
gpt_oss_20b_abstract_pass3,gpt_oss_20b,abstract,3,single_pass,d2,78,0.3333333333333333,0.0068560235063663145,0.008174386920980969,0.010309278350515426,-0.11226799456767786,0.10596026490066224
gpt_oss_20b_abstract_pass3,gpt_oss_20b,abstract,3,single_pass,d3,78,0.32051282051282054,0.06173399909214711,0.08034934497816587,0.11363636363636348,0.033057851239669395,0.14228007181328534
gpt_oss_20b_abstract_pass3,gpt_oss_20b,abstract,3,single_pass,d4,78,0.358974358974359,0.1224122412241224,0.13041649137568356,0.14365463342017132,0.05369928400954641,0.24154025670945162
