rct_id,rct_author,rct_regnr,cr_id,extracted_pmid,extracted_doi,extracted_nct,match_type,match_confidence,matched_pmid,matched_doi,matched_source,matched_title,notes
RCT069,"Talaschian, 2021",IRCT20081027001411N4,CD013881.PUB2,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD013881.PUB2, author=Talaschian, year=2021"
RCT070,"Hermine, 2021",NCT04331808,CD013881.PUB2,,,NCT04331808,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT04331808, cr=CD013881.PUB2, author=Hermine, year=2021"
RCT071,"Borlido, 2016",NCT00493233,CD014383.PUB2,,,NCT00493233,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT00493233, cr=CD014383.PUB2, author=Borlido, year=2016"
RCT072,"Huhn, 2020",NCT02307396,CD014384.PUB2,,,NCT02307396,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT02307396, cr=CD014384.PUB2, author=Huhn, year=2020"
RCT073,"Albertsen, 2019",NCT00819351,CD014570.PUB2,,,NCT00819351,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT00819351, cr=CD014570.PUB2, author=Albertsen, year=2019"
RCT074,Curran 2022,NCT03672058,CD014605.PUB2,,,NCT03672058,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT03672058, cr=CD014605.PUB2, author=Curran, year=2022"
RCT075,"Turk, 2019",NCT02466893,CD014676.PUB2,,,NCT02466893,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT02466893, cr=CD014676.PUB2, author=Turk, year=2019"
RCT076,"Lapergue, 2017",NCT02523261,CD014676.PUB2,,,NCT02523261,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT02523261, cr=CD014676.PUB2, author=Lapergue, year=2017"
RCT077,"Koomson, 2016",,CD014758.PUB2,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD014758.PUB2, author=Koomson, year=2016"
RCT078,"Deuter, 2018",EUCTR2009-009998-10-DE; NCT01092533,CD014831.PUB2,,,NCT01092533,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT01092533, cr=CD014831.PUB2, author=Deuter, year=2018"
RCT079,"Rosenblum, 2017",NCT01554215,CD014874.PUB2,,,NCT01554215,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT01554215, cr=CD014874.PUB2, author=Rosenblum, year=2017"
RCT080,Rogde 2016,,CD014890.PUB2,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD014890.PUB2, author=Rogde, year=2016"
RCT081,"PROVENT, 2022",NCT04625725,CD014945.PUB2,,,NCT04625725,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT04625725, cr=CD014945.PUB2, author=PROVENT, year=2022"
RCT082,"Spinner, 2020",NCT04292730,CD014962.PUB2,,,NCT04292730,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT04292730, cr=CD014962.PUB2, author=Spinner, year=2020"
RCT083,"Tomazini, 2020",NCT04327401,CD014963.PUB2,,,NCT04327401,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT04327401, cr=CD014963.PUB2, author=Tomazini, year=2020"
RCT084,"Kirti, 2021",CTRI/2020/08/027225,CD015017.PUB3,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD015017.PUB3, author=Kirti, year=2021"
RCT085,Sekhavati 2020,IRCT20200415047092N1,CD015025,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD015025, author=Sekhavati, year=2020"
RCT086,"Kannan, 2018",CTRI/2017/11/010474,CD015031.PUB2,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD015031.PUB2, author=Kannan, year=2018"
RCT087,"Manasa, 2018",,CD015031.PUB2,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD015031.PUB2, author=Manasa, year=2018"
RCT088,"Entrenas Castillo, 2020",NCT04366908,CD015043,,,NCT04366908,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT04366908, cr=CD015043, author=Entrenas, year=2020"
RCT089,"Murai, 2021",NCT04449718,CD015043,,,NCT04449718,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT04449718, cr=CD015043, author=Murai, year=2021"
RCT090,"Deftereos, 2020",NCT04326790,CD015045,,,NCT04326790,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT04326790, cr=CD015045, author=Deftereos, year=2020"
RCT091,"Aragona, 2013",,CD015070.PUB2,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD015070.PUB2, author=Aragona, year=2013"
RCT092,"Lee, 2014",NCT01692652,CD015070.PUB2,,,NCT01692652,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT01692652, cr=CD015070.PUB2, author=Lee, year=2014"
RCT093,"Horby, 2021",NCT04381936,CD015078,,,NCT04381936,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT04381936, cr=CD015078, author=Horby, year=2021"
RCT094,Shipman 2021,NCT04187417,CD015091.PUB2,,,NCT04187417,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT04187417, cr=CD015091.PUB2, author=Shipman, year=2021"
RCT095,"Ramakrishnan, 2021",NCT04416399,CD015125,,,NCT04416399,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT04416399, cr=CD015125, author=Ramakrishnan, year=2021"
RCT096,"ITAC, 2022",NCT04546581; EUCTR2020-002542-16-GR,CD015167.PUB2,,,NCT04546581,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT04546581, cr=CD015167.PUB2, author=ITAC, year=2022"
RCT097,"Guimarães, 2021",NCT04469114,CD015209,,,NCT04469114,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT04469114, cr=CD015209, author=Guimarães, year=2021"
RCT098,"Lenze, 2020",NCT04342663,CD015391,,,NCT04342663,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT04342663, cr=CD015391, author=Lenze, year=2020"
RCT099,"EPIC-HR, 2021",NCT04960202,CD015395.PUB2,,,NCT04960202,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT04960202, cr=CD015395.PUB2, author=EPIC-HR, year=2021"
RCT100,"El Sahly HM, 2021",NCT04470427,CD015477,,,NCT04470427,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT04470427, cr=CD015477, author=Sahly, year=2021"
